板块	子类		标的	代码
光通信/光互连	光纤光缆	881124.TI	远东股份	600869.SH
光通信/光互连	光纤光缆	881124.TI	水鼎股份	600105.SH
光通信/光互连	光纤光缆	881124.TI	国瓷材料	300285.SZ
光通信/光互连	光互连		京东方A	000725.SZ
光通信/光互连	光互连		沃格光电	603773.SH
光通信/光互连	光互连		安孚科技	603031.SH
光通信/光互连	设备/零部件	881121.TI	新益昌	688383.SH
光通信/光互连	设备/零部件	881121.TI	长川科技	300604.SZ
光通信/光互连	设备/零部件	881121.TI	联讯仪器	688808.SH
光通信/光互连	设备/零部件	881121.TI	罗博特科	300757.SZ
光通信/光互连	设备/零部件	881121.TI	意华股份	002897.SZ
光通信/光互连	设备/零部件	881121.TI	天通股份	600330.SH
光通信/光互连	下游/系统		紫光股份	000938.SZ
光通信/光互连	下游/系统		工业富联	601138.SH
光通信/光互连	下游/系统		中兴通讯	000063.SZ
光通信/光互连	下游/系统		锐捷网络	301165.SZ
光通信/光互连	下游/系统		星网锐捷	002396.SZ
光通信/光互连	下游/系统		赛微电子	300456.SZ
光通信/光互连	下游/系统		致尚科技	301486.SZ
光通信/光互连	下游/系统		东山精密	002384.SZ
光通信/光互连	下游/系统		科翔股份	300903.SZ
光通信/光互连	下游/系统		长电科技	600584.SH
光通信/光互连	下游/系统		通富微电	002156.SZ
光通信/光互连	下游/系统		环旭电子	601231.SH
光通信/光互连	下游/系统		甬矽电子	688362.SH
机器人	宇树-战略合作		奥比中光	688322.SH
机器人	宇树-战略合作		凌云光	688400.SH
机器人	宇树-核心供应商		中大力德	002896.SZ
机器人	宇树-核心供应商		柯力传感	603662.SH
机器人	宇树-核心供应商		长盛轴承	300718.SZ
机器人	宇树-一般供应商		奥普特	688686.SH
机器人	宇树-一般供应商		芯动联科	688582.SH
机器人	特斯拉-战略合作		拓普集团	601689.SH
机器人	特斯拉-战略合作		三花智控	002050.SZ
机器人	特斯拉-核心供应商		绿的谐波	688017.SH
机器人	特斯拉-核心供应商		鸣志电器	603728.SH
机器人	特斯拉-核心供应商		柯力传感	603662.SH
机器人	特斯拉-核心供应商		奥比中光	688322.SH
机器人	特斯拉-一般供应商		双环传动	002472.SZ
机器人	特斯拉-一般供应商		禾川科技	688320.SH
机器人	特斯拉-一般供应商		芯动联科	688582.SH
机器人	小鹏-战略合作		双环传动	002472.SZ
机器人	小鹏-核心供应商		汇川技术	300124.SZ
机器人	小鹏-核心供应商		柯力传感	603662.SH
机器人	小鹏-核心供应商		奥比中光	688322.SH
机器人	优必选-战略合作		奥比中光	688322.SH
机器人	优必选-核心供应商		绿的谐波	688017.SH
机器人	优必选-核心供应商		柯力传感	603662.SH
机器人	智元-战略合作		柯力传感	603662.SH
机器人	智元-战略合作		奥比中光	688322.SH
机器人	智元-核心供应商		中大力德	002896.SZ
机器人	智元-核心供应商		长盛轴承	300718.SZ
机器人	小米-战略合作		鸣志电器	603728.SH
机器人	小米-核心供应商		绿的谐波	688017.SH
机器人	小米-核心供应商		柯力传感	603662.SH
机器人	通用龙头-力传感器		柯力传感	603662.SH
机器人	通用龙头-3D视觉		奥比中光	688322.SH
机器人	通用龙头-谐波减速器	881127.TI	绿的谐波	688017.SH
机器人	通用龙头-滑动轴承		长盛轴承	300718.SZ
机器人	通用龙头-减速器/电机	881127.TI	中大力德	002896.SZ
机器人	通用龙头-RV减速器	881127.TI	双环传动	002472.SZ
机器人	通用龙头-空心杯电机	881127.TI	鸣志电器	603728.SH
机器人	通用龙头-伺服系统	881127.TI	汇川技术	300124.SZ
机器人	通用龙头-伺服系统	881127.TI	卧龙电驱	600580.SH
机器人	通用龙头-MEMS IMU		芯动联科	688582.SH
机器人	通用龙头-机器视觉		凌云光	688400.SH
机器人	通用龙头-机器视觉		奥普特	688686.SH
机器人	工业机器人-整机	881127.TI	埃斯顿	002747.SZ
机器人	工业机器人-整机	881127.TI	埃夫特	688165.SH
机器人	工业机器人-整机	881127.TI	新松机器人	300024.SZ
机器人	工业机器人-整机	881127.TI	拓斯达	300607.SZ
储能	正极	881130.TI	德方纳米	300769.SZ
储能	正极	881130.TI	湖南裕能	301358.SZ
储能	正极	881130.TI	万润新能	688275.SH
储能	正极	881130.TI	安达科技	830809.BJ
储能	正极	881130.TI	天原股份	002386.SZ
储能	正极	881130.TI	丰元股份	002805.SZ
储能	负极	881130.TI	贝特瑞	835185.BJ
储能	负极	881130.TI	璞泰来	603659.SH
储能	电解液	881130.TI	天赐材料	002709.SZ
储能	电解液	881130.TI	多氟多	002407.SZ
储能	电解液	881130.TI	天际股份	002759.SZ
储能	电解液	881130.TI	石大胜华	603026.SH
储能	隔膜	881130.TI	恩捷股份	002812.SZ
储能	隔膜	881130.TI	星源材质	300568.SZ
储能	电芯		宁德时代	300750.SZ
储能	电芯		比亚迪	002594.SZ
储能	电芯		亿纬锂能	300014.SZ
储能	电芯		国轩高科	002074.SZ
储能	电芯		鹏辉能源	300438.SZ
储能	电芯		欣旺达	300207.SZ
储能	电芯		瑞浦兰钧	0666.HK
储能	电芯		中创新航	3931.HK
储能	电芯		派能科技	688063.SH
储能	PCS		阳光电源	300274.SZ
储能	PCS		上能电气	300827.SZ
储能	PCS		科华数据	002335.SZ
储能	PCS		固德威	688390.SH
储能	PCS		德业股份	605117.SH
储能	PCS		锦浪科技	300763.SZ
储能	PCS		盛弘股份	300693.SZ
储能	PCS		禾望电气	603063.SH
储能	PCS		通合科技	300491.SZ
储能	PCS		新特电气	301120.SZ
储能	PCS		华塑科技	301157.SZ
储能	PCS		特变电工	600089.SH
储能	PCS		汇川技术	300124.SZ
储能	PCS		智光电气	002169.SZ
储能	PCS		许继电气	000400.SZ
储能	PCS		正泰电器	601877.SH
储能	PCS		艾罗能源	688717.SH
储能	BMS/EMS		高特电子	301669.SZ
储能	BMS/EMS		国电南瑞	600406.SH
储能	系统集成		海博思创	688411.SH
储能	系统集成		阿特斯	688472.SH
储能	系统集成		南都电源	300068.SZ
储能	系统集成		协鑫集成	002506.SZ
储能	系统集成		四方股份	601126.SH
储能	系统集成		拓邦股份	002139.SZ
储能	系统集成		科力远	600478.SH
储能	EPC		中国电建	601669.SH
储能	EPC		中国能建	601868.SH
储能	EPC		永福股份	300712.SZ
储能	温控		英维克	002837.SZ
储能	温控		同飞股份	300990.SZ
储能	温控		申菱环境	301018.SZ
储能	消防		国安达	300902.SZ
储能	消防		金时科技	002951.SZ
储能	消防		海伦哲	300201.SZ
储能	运营		国投电力	600886.SH
卡脖子	光刻胶上游		万润股份	002643.SZ
卡脖子	光刻胶上游		强力新材	300429.SZ
卡脖子	电子特气		华特气体	688268.SH
卡脖子	电子特气		金宏气体	688106.SH
卡脖子	电子特气		中船特气	688146.SH
卡脖子	湿电子化学品		格林达	603931.SH
卡脖子	湿电子化学品		江化微	603078.SH
卡脖子	前驱体		南大光电	300346.SZ
卡脖子	前驱体		雅克科技	002409.SZ
卡脖子	CMP		鼎龙股份	300054.SZ
卡脖子	CMP		安集科技	688019.SH
卡脖子	靶材		江丰电子	300666.SZ
卡脖子	靶材		有研新材	600206.SH
卡脖子	掩模版		清溢光电	688138.SH
卡脖子	掩模版		路维光电	688401.SH
卡脖子	空白掩膜版（新增）		聚和材料	688503.SH
卡脖子	零部件		新莱应材	300260.SZ
卡脖子	零部件		富创精密	688409.SH
卡脖子	先进封装材料	881121.TI	强力新材	300429.SZ
卡脖子	先进封装材料	881121.TI	华海诚科	688535.SH
卡脖子	先进封装材料	881121.TI	德邦科技	688035.SH
卡脖子	先进封装材料	881121.TI	时代新材	600458.SH
卡脖子	先进封装材料	881121.TI	艾森股份	688720.SH
卡脖子	半导体玻璃（新增）	881121.TI	戈碧迦（北交所）	835438.BJ
卡脖子	TGV		沃格光电	603773.SH
卡脖子	TGV		大族激光	002008.SZ
算力基座·能源	液冷	881129.TI	申菱环境	301018.SZ
算力基座·能源	液冷	881129.TI	英维克	002837.SZ
算力基座·能源	液冷	881129.TI	高澜股份	300499.SZ
算力基座·能源	液冷	881129.TI	东阳光	600673.SH
算力基座·能源	液冷	881129.TI	曙光数创	920808.BJ
算力基座·能源	液冷	881129.TI	同飞股份	300990.SZ
算力基座·能源	液冷	881129.TI	依米康	300249.SZ
算力基座·能源	液冷	881129.TI	佳力图	603912.SH
算力基座·能源	液冷	881129.TI	康盛股份	002418.SZ
算力基座·能源	液冷	881129.TI	中鼎股份	000887.SZ
算力基座·能源	液冷	881129.TI	科华数据	002335.SZ
算力基座·能源	液冷	881129.TI	浪潮信息	000977.SZ
算力基座·能源	液冷	881129.TI	工业富联	601138.SH
算力基座·能源	液冷	881129.TI	紫光股份	000938.SZ
算力基座·能源	液冷	881129.TI	飞荣达	300602.SZ
算力基座·能源	液冷	881129.TI	中石科技	300684.SZ
算力基座·能源	液冷	881129.TI	领益智造	002600.SZ
算力基座·能源	液冷	881129.TI	鸿富瀚	301086.SZ
算力基座·能源	液冷	881129.TI	铭利达	301268.SZ
算力基座·能源	液冷	881129.TI	鼎通科技	688668.SH
算力基座·能源	液冷	881129.TI	亨通股份	600226.SH
算力基座·能源	液冷	881129.TI	中航光电	002179.SZ
算力基座·能源	液冷	881129.TI	永贵电器	300351.SZ
算力基座·能源	液冷	881129.TI	川环科技	300547.SZ
算力基座·能源	液冷	881129.TI	科创新源	300731.SZ
算力基座·能源	液冷	881129.TI	川润股份	002272.SZ
算力基座·能源	液冷	881129.TI	五洋自控	300420.SZ
算力基座·能源	液冷	881129.TI	骏鼎达	301538.SZ
算力基座·能源	液冷	881129.TI	海鸥股份	603269.SH
算力基座·能源	液冷	881129.TI	大元泵业	603757.SH
算力基座·能源	液冷	881129.TI	飞龙股份	002536.SZ
算力基座·能源	液冷	881129.TI	美湖股份	603319.SH
算力基座·能源	液冷	881129.TI	强瑞技术	301128.SZ
算力基座·能源	液冷	881129.TI	海目星	688559.SH
算力基座·能源	氟化工		巨化股份	600160.SH
算力基座·能源	氟化工		昊华科技	600378.SH
算力基座·能源	氟化工		永和股份	605020.SH
算力基座·能源	电池化学品	881130.TI	新宙邦	300037.SZ
算力基座·能源	电池化学品	881130.TI	龙蟠科技	603906.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	利通电子	603629.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	协创数据	300857.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	神州数码	000034.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	中贝通信	603220.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	鸿博股份	002229.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	杭钢股份	600126.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	润建股份	002929.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	宏景科技	301396.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	安诺其	300067.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	莲花控股	600186.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	南威软件	603636.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	东阳光	600673.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	华策影视	300133.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	盛视科技	002990.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	智微智能	001339.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	天阳科技	300872.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	赛意信息	300687.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	汉邦高科	300449.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	并行科技	920493.BJ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	三人行	605168.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	宏川智慧	002930.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	首都在线	300846.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	云赛智联	600602.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	美利云	000815.SZ
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	华胜天成	600410.SH
AI服务器/算力租赁/数据中心	算力租赁	881129.TI	弘信电子	300657.SZ
AI服务器/算力租赁/数据中心	数据中心	881129.TI	城地香江	603887.SH
AI服务器/算力租赁/数据中心	数据中心	881129.TI	光环新网	300383.SZ
AI服务器/算力租赁/数据中心	数据中心	881129.TI	数据港	603881.SH
AI服务器/算力租赁/数据中心	数据中心	881129.TI	润泽科技	300442.SZ
AI服务器/算力租赁/数据中心	数据中心	881129.TI	奥飞数据	300738.SZ
AI服务器/算力租赁/数据中心	数据中心	881129.TI	宝信软件	600845.SH
AI服务器/算力租赁/数据中心	数据中心	881129.TI	大位科技	600589.SH
AI服务器/算力租赁/数据中心	电网设备	881121.TI	金盘科技	688676.SH
AI服务器/算力租赁/数据中心	电网设备	881121.TI	伊戈尔	002922.SZ
AI服务器/算力租赁/数据中心	电网设备	881121.TI	特变电工	600089.SH
AI服务器/算力租赁/数据中心	电网设备	881121.TI	明阳电气	301291.SZ
AI服务器/算力租赁/数据中心	电网设备	881121.TI	江苏华辰	603097.SH
AI服务器/算力租赁/数据中心	电网设备	881121.TI	望变电气	603191.SH
AI服务器/算力租赁/数据中心	电网设备	881121.TI	四方股份	601126.SH
AI服务器/算力租赁/数据中心	电网设备	881121.TI	华明装备	002270.SZ
AI服务器/算力租赁/数据中心	电网设备	881121.TI	威胜信息	688100.SH
AI服务器/算力租赁/数据中心	电网设备	881121.TI	宏发股份	600885.SH
